Number,Arabic,English
685,محطة أرضية قاعدية,base earth station
686,تردد قاعدي,base frequency
687,مفتاح قاعدي,base key
688,ذاكرة قاعدية,base memory
689,تدوين قاعدي,base notation
690,أولوية قاعدية,base priority
691,سجل قاعدي,base register
692,جداول قاعدية,base tables
693,نطاق قاعدي,baseband
694,قناة قاعدية النطاق,baseband channel
695,شبكة محلية ذات نطاق قاعدي,baseband local area network
696,تعديل قاعدي النطاق,baseband modulation
697,خط قاعدي,baseline
698,[لغة] بيسيك,BASIC
699,نفاذ قاعدي,basic access
700,إجرائية اتصال قاعدي,basic call process
701,خدمة راديوية للاتصالات المتبادلة القاعدية,Basic Exchange Telecommunications Radio Service (BETRS)
702,طريقة نفاذ تتابعي مفهرس قاعدي (BISAM),Basic Indexed Sequential Access Method
703,نظام دخل/خرج قاعدي (BIOS),Basic Input/Output System
704,مجموعة خدمة قاعدية,basic service set
705,اختبار مسار قاعدي,basis path testing
706,مضيف محصن,bastion host
707,ملف BAT,BAT file
708,لوحة مفاتيح مصغرة,bat keyboard
709,دفعة,batch
710,إدخال معطيات دفعي,batch data entry
711,ملف دفعي,batch file
712,عمل دفعي,batch job
713,معالجة دفعية,batch processing
714,برنامج دفعي,batch program
715,نظام دفعي,batch system
716,مقياس [تيار] البطارية,battery meter
717,بود,baud
718,معدل البود,baud rate
719,رماز بودو,Baudot code
720,نموذج باير,Bayer pattern
721,(عشري مرمز اثنانيا) BCD,BCD (binary coded decimal)
722,ترميز BCH,BCH code
723,رماز BCH,BCH code
724,[تقنية] BD-Live,BD-Live
725,[قرص] BD-R,BD-R
726,[قرص] BD-RE,BD-RE
727,[قرص] BD-ROM,BD-ROM
728,[قرص] BD-RW,BD-RW
729,رزمة منارية (إرشادية),beacon packet
730,ترشيد,beaconing
731,حزمة,beam
732,محاذاة حزمية,beam alignment
733,هوائي حزمي,beam antenna
734,محور حزمة,beam axis
735,تقارب حزمة,beam convergence
736,قطر حزمة,beam diameter
737,تباعد حزمة,beam divergence
738,قفز حزمي,beam hopping
739,خطأ تسديد الحزمة,beam pointing error
740,شاطر الحزمة,beamsplitter
741,عرض الحزمة,beamwidth
742,[مرابط] لوبيائية الشكل,beans
743,قناة حاملة,bearer channel
744,خدمة حاملة,bearer service
745,استقبال خفقي,beat reception
746,[إعلام] BECN,BECN
747,[ذاكرة] BEDO DRAM,BEDO DRAM
748,مخطار صغير,beeper
749,تحليل سلوكي,behavioral analysis
750,تصميم سلوكي,behavioral design
751,نمذجة سلوكية,behavioral modeling
752,[توصيف] Bell 103,Bell 103
753,[توصيف] Bell 201,Bell 201
754,[توصيف] Bell 202,Bell 202
755,[توصيف] Bell 208,Bell 208
756,[توصيف] Bell 209,Bell 209
757,[توصيف] Bell 212,Bell 212
758,معايير بل للاتصالات,Bell communications standards
759,نموذج أمن Bell-La Padula,Bell-La Padula security model
760,طابعة شريطية,belt printer
761,تجهيزات حزامية,beltware
762,قياس الأداء,benchmark
763,برنامج قياس الأداء,benchmark program
764,فقد الانحناء,bending loss
765,حميد,benign
766,بنيان أنبوب منحن,bent pipe architecture
767,[نظام التشغيل] BeOS,BeOS
768,[الحاسوب] بيوولف,Beowulf
769,قاعدة معطيات بركلي,Berkeley DB
770,ناطر بركلي لأسماء الإنترنت (الشابكة),Berkeley Internet Name Daemon
771,علبة برنولي,Bernoulli box
772,إجرائية برنولي,Bernoulli process
773,إجرائية اعتيان برنولي,Bernoulli sampling process
774,[تجهيزة] BERT,BERT
775,برمجيات بحسب الطلب,bespoke software
776,خدمة بأفضل جهد,best effort service
777,بحث الأفضل أولا,best first search
778,أفضل ملاءمة,best fit
779,ATM بأفضل جهد,best-effort ATM
780,أفضل الصف,best-of-class
781,بيتا,beta
782,موقع بيتا,beta site
783,برمجيات بيتا,beta software
784,اختبار بيتا,beta test
785,اختبار بيتا,Beta testing
786,إصدار بيتا,beta version
787,[نسق] Betamax,Betamax
788,برمجية بإصدار بيتا,betaware
789,اتصالات ما وراء الأفق,beyond-the-horizon communication
790,حافة شاشة,bezel
791,منحن بيزييه,Bézier curve
792,[شبكة] BGAN,BGAN
793,[عدد] BHCA,BHCA
794,[عدد] BHCC,BHCCs
795,مسرى BI,BI bus
796,بوابة BI,BI portal
797,برمجيات BI,BI software
798,انحياز,bias
799,تيار انحياز,bias current
800,فلطية انحياز,bias voltage
801,منحاز,biased
802,تحكم آلي منحاز في الكسب,biased automatic gain control
803,بروتوكول منحاز,biased protocol
804,قاعدة معطيات المراجع,bibliographic database
805,قائمة المراجع,bibliographical references
806,[توصيف] B-ICI,B-ICI
807,هوائي مزدوج المخروط,Biconical antenna
808,هوائي بوقي مزدوج المخروط,Biconical horn antenna
809,ثنائي الاتجاه,bidirectional
810,هوائي ثنائي الاتجاه,bidirectional antenna
811,مسرى ثنائي الاتجاه,bidirectional bus
812,سواق مسرى ثنائي الاتجاه,bidirectional bus driver
813,ربط ثنائي الاتجاه,bidirectional connection
814,قارن ثنائي الاتجاه,bidirectional coupler
815,مكروفون ثنائي الاتجاه,bidirectional microphone
816,منفذ متواز ثنائي الاتجاه,bidirectional parallel port
817,طابعة ثنائية الاتجاه,bidirectional printer
818,طباعة ثنائية الاتجاه,bidirectional printing
819,[ب] نهائي ثنائي,bi-endian (adj)
820,يشطر,bifurcate (v)
821,[ب] نهائي كبير,big endian (adj)
822,حاسوب ضخم,big iron
823,[ب] نهائي كبير,big-endian (adj)
824,هوائي بساقني,bilateral antenna
825,تزامن ثنائي الطرف,bilateral synchronization
826,مظهار بمستويين,bilevel display
827,طابعة بمستويين,bilevel printer
828,مسح بمستويين,bilevel scan
829,نظام بمستويين,bilevel system
830,ترشيح خطاني,bilinear filtering
831,استكمال داخلي خطاني,bilinear interpolation
832,ترشيح نسيج خطاني,bilinear texture filtering
833,تطبيق نسيج خطاني,bilinear texture mapping
834,هوائي لوحي,billboard antenna
835,نظام فوترة,billing system
836,مليار,billion
837,توزيع ثنائي النمط,bi-modal distribution
838,ملف bin,bin file
839,اثنانيات,binaries
840,مجموعات أخبار اثنانيات,binaries newsgroups
841,اثناني,binary
842,جامع اثناني,binary adder
843,جمع اثناني,binary addition
844,حساب اثناني,binary arithmetic
845,نظام حساب اثناني,binary arithm etic system
846,روابط اثنانية,binary associations
847,بت اثناني,binary bit
848,عملية بولية اثنانية,binary Boolean operation
849,حمل اثناني,binary carry
850,سلسلة اثنانية,binary chain
851,رقم تدقيق اثناني,binary check digit
852,فرز بتقطيع اثناني,binary chop sorting
853,رماز اثناني,binary code
854,محرف مرمز اثنانيا,binary coded character
855,عشري مرمز اثنانيا (BCD),Binary Coded Decimal
856,رمز محرف عشري مرمز اثنانيا,Binary Coded Decimal character
857,رمز تبادل عشري مرمز اثنانيا,Binary Coded Decimal interchange
858,تدوين عشري مرمز اثنانيا,Binary Coded Decimal notation
859,عدد عشري مرمز اثنانيا,Binary Coded Decimal number
860,تثيل عشري مرمز اثنانيا,Binary Coded Decimal
861,نظام عشري مرمز اثنانيا,Binary Coded Decimal system
862,مقارنة اثنانية,binary compare
863,توافقية اثنانية,binary compatibility
864,متمم اثناني,binary complement
865,تحويل اثناني,binary conversion
866,عداد اثناني,binary counter
867,تفريق اثناني,binary decomposition
868,تجهيزة اثنانية,binary device
869,رقم اثناني,binary digit
870,محرر اثناني,binary editor
871,متوالية عناصر اثنانية,binary element string
872,معدل أخطاء اثنانية,binary error rate
873,ملف اثناني,binary file
874,نقل ملفات اثنانية,binary file transfer
875,نسق اثناني,binary format
876,جامع نصفي اثناني,binary half adder
877,تثيل تزايدي اثناني,binary incremental representation
878,عدد صحيح اثناني,binary integer
879,أغراض اثنانية كبيرة (BLOB),Binary Large OBjects
880,محمل اثناني,binary loader
881,منطق اثناني,binary logic
882,نمط اثناني,binary mode
883,تعديل اثناني,binary modulation
884,ضرب اثناني,binary multiplication
885,تدوين اثناني,binary notation
886,عدد اثناني,binary number
887,نظام عد اثناني,binary numbering system
888,عملية اثنانية,binary operation
889,مؤثر اثناني,binary operator
890,مستمثلات اثنانية,binary optimizers
891,تعديل بإزاحة طور ثنائي (BPSK),Binary Phase Shift Keying
892,عمليات علاقتية اثنانية,binary relational operations
893,بحث اثناني,binary search
894,إجراء بحث اثناني,binary search procedure
895,تومئة اثنانية,binary semaphore
896,إزاحة اثنانية,binary shift
897,تشوير اثناني,binary signalling
898,فرز اثناني,binary sorting
899,معيار اثناني,binary standard
900,خزن اثناني,binary storage
901,متوالية اثنانية,binary string
902,طرح اثناني,binary subtraction
903,إرسال متزامن اثناني,binary sychronous transmission
904,متناظر اثنانيا,binary symmetric
905,متزامن اثناني (BISYNC),BInary SYNChronous (adj)
906,[بروتوكول] اتصال اثناني متزامن (BSC),Binary Synchronous Communication
907,موائمة [بروتوكول] اتصال اثناني متزامن,binary synchronous communication adapter
908,بروتوكول اتصال اثناني متزامن,binary synchronous communication protocol
909,بروتوكول متزامن اثناني (BISYNC),BInary SYNChronous protocol
910,إرسال اثناني متزامن (BISYNC),BInary SYNChronous transmission
911,نظام اثناني,binary system
912,تحويل من اثناني إلى عشري,binary to decimal conversion
913,تحويل من اثناني إلى ست عشري,binary to hexadecimal conversion
914,تحويل من اثناني إلى ثماني,binary to octal conversion
915,نقل اثناني,binary transfer
916,شجرة اثنانية,binary tree
917,متغير اثناني,binary variable
918,[لغة] XML اثنانية,binary XML
919,رماز عشري مرمز اثنانيا,binary-coded decimal code
920,صوت ثنائي القناة,binaural sound
921,يوثق,bind (v)
922,[برنامج] binder,binder
